code,label
AT,autres terres
E,établissements
P,prairies / savanes
TC,terres cultivées
TF,terres forestières
TH,terres humides
FPLAN,plantations forestières
FNTF,forêt naturelle sur terre ferme
FM,forêt inondable ou marécageuse
EBAT,bâtis
EROU,routes
P,prairies/savanes
